id,time,inference_of_emotion
1,09:00:00,happy
2,09:00:10,disgust
3,09:00:20,angry
4,09:00:30,disgust
5,09:00:40,neutral
6,09:00:50,happy
7,09:01:00,happy
8,09:01:10,neutral
9,09:01:20,disgust
10,09:01:30,disgust
11,09:01:40,disgust
12,09:01:50,disgust
13,09:02:00,disgust
14,09:02:10,neutral
15,09:02:20,neutral
16,09:02:30,sad
17,09:02:40,disgust
18,09:02:50,disgust
19,09:03:00,disgust
20,09:03:10,sad
21,09:03:20,neutral
22,09:03:30,disgust
23,09:03:40,sad
24,09:03:50,happy
25,09:04:00,neutral
26,09:04:10,sad
27,09:04:20,disgust
28,09:04:30,sad
29,09:04:40,disgust
30,09:04:50,disgust
31,09:05:00,happy
32,09:05:10,happy
33,09:05:20,angry
34,09:05:30,neutral
35,09:05:40,sad
36,09:05:50,disgust
37,09:06:00,happy
38,09:06:10,happy
39,09:06:20,happy
40,09:06:30,neutral
41,09:06:40,sad
42,09:06:50,sad
43,09:07:00,sad
44,09:07:10,sad
45,09:07:20,happy
46,09:07:30,disgust
47,09:07:40,disgust
48,09:07:50,disgust
49,09:08:00,sad
50,09:08:10,neutral
51,09:08:20,angry
52,09:08:30,disgust
53,09:08:40,angry
54,09:08:50,disgust
55,09:09:00,neutral
56,09:09:10,sad
57,09:09:20,happy
58,09:09:30,sad
59,09:09:40,angry
60,09:09:50,neutral
61,09:10:00,disgust
62,09:10:10,sad
63,09:10:20,neutral
64,09:10:30,happy
65,09:10:40,happy
66,09:10:50,neutral
67,09:11:00,disgust
68,09:11:10,neutral
69,09:11:20,angry
70,09:11:30,disgust
71,09:11:40,sad
72,09:11:50,angry
73,09:12:00,neutral
74,09:12:10,neutral
75,09:12:20,neutral
76,09:12:30,angry
77,09:12:40,disgust
78,09:12:50,sad
79,09:13:00,angry
80,09:13:10,sad
81,09:13:20,disgust
82,09:13:30,sad
83,09:13:40,neutral
84,09:13:50,angry
85,09:14:00,sad
86,09:14:10,disgust
87,09:14:20,disgust
88,09:14:30,disgust
89,09:14:40,angry
90,09:14:50,disgust
91,09:15:00,disgust
92,09:15:10,sad
93,09:15:20,happy
94,09:15:30,happy
95,09:15:40,neutral
96,09:15:50,angry
97,09:16:00,disgust
98,09:16:10,disgust
99,09:16:20,happy
100,09:16:30,sad
101,09:16:40,disgust
102,09:16:50,happy
103,09:17:00,disgust
104,09:17:10,sad
105,09:17:20,happy
106,09:17:30,angry
107,09:17:40,happy
108,09:17:50,happy
109,09:18:00,disgust
110,09:18:10,neutral
111,09:18:20,angry
112,09:18:30,disgust
113,09:18:40,neutral
114,09:18:50,angry
115,09:19:00,sad
116,09:19:10,disgust
117,09:19:20,sad
118,09:19:30,happy
119,09:19:40,happy
120,09:19:50,happy
121,09:20:00,angry
122,09:20:10,disgust
123,09:20:20,neutral
124,09:20:30,disgust
125,09:20:40,sad
126,09:20:50,neutral
127,09:21:00,disgust
128,09:21:10,angry
129,09:21:20,sad
130,09:21:30,sad
131,09:21:40,disgust
132,09:21:50,sad
133,09:22:00,neutral
134,09:22:10,angry
135,09:22:20,neutral
136,09:22:30,neutral
137,09:22:40,angry
138,09:22:50,sad
139,09:23:00,angry
140,09:23:10,sad
141,09:23:20,sad
142,09:23:30,disgust
143,09:23:40,disgust
144,09:23:50,disgust
145,09:24:00,angry
146,09:24:10,disgust
147,09:24:20,neutral
148,09:24:30,happy
149,09:24:40,neutral
150,09:24:50,neutral
151,09:25:00,happy
152,09:25:10,angry
153,09:25:20,angry
154,09:25:30,sad
155,09:25:40,angry
156,09:25:50,angry
157,09:26:00,happy
158,09:26:10,angry
159,09:26:20,sad
160,09:26:30,angry
161,09:26:40,happy
162,09:26:50,angry
163,09:27:00,disgust
164,09:27:10,happy
165,09:27:20,disgust
166,09:27:30,neutral
167,09:27:40,disgust
168,09:27:50,neutral
169,09:28:00,angry
170,09:28:10,neutral
171,09:28:20,disgust
172,09:28:30,disgust
173,09:28:40,angry
174,09:28:50,angry
175,09:29:00,neutral
176,09:29:10,angry
177,09:29:20,happy
178,09:29:30,disgust
179,09:29:40,angry
180,09:29:50,happy
181,09:30:00,neutral
182,09:30:10,angry
183,09:30:20,disgust
184,09:30:30,disgust
185,09:30:40,disgust
186,09:30:50,happy
187,09:31:00,disgust
188,09:31:10,neutral
189,09:31:20,neutral
190,09:31:30,happy
191,09:31:40,sad
192,09:31:50,angry
193,09:32:00,happy
194,09:32:10,sad
195,09:32:20,angry
196,09:32:30,disgust
197,09:32:40,happy
198,09:32:50,happy
199,09:33:00,angry
200,09:33:10,neutral
201,09:33:20,happy
202,09:33:30,angry
203,09:33:40,disgust
204,09:33:50,disgust
205,09:34:00,sad
206,09:34:10,happy
207,09:34:20,happy
208,09:34:30,angry
209,09:34:40,disgust
210,09:34:50,disgust
211,09:35:00,disgust
